AIRLINE,MONTH,ARRIVAL_DELAY
AA,1,6.955843432232902
AA,2,7.530204410973642
AA,3,6.693586858685869
AA,4,4.931777541365808
AA,5,5.173878150008026
AA,6,8.191016646031091
AA,7,3.870440173589585
AA,8,3.193906591451949
AA,9,-1.4327324113708704
AA,10,-0.5809298123878975
AA,11,0.7726303123119838
AA,12,4.149684328298569
AS,1,-0.3208881453881834
AS,2,-0.7829231792484204
AS,3,-0.5447309101155255
AS,4,-3.0090025207057978
AS,5,-1.7163984936665526
AS,6,-0.22062062062062063
AS,7,0.3774076663912021
AS,8,2.5038986962759653
AS,9,-1.8137998875772907
AS,10,-2.9936173164978492
AS,11,-1.9165164732175042
AS,12,-1.846680642907058
B6,1,7.347280539009862
B6,2,18.657672849915684
B6,3,10.74131747400917
B6,4,2.780105432042173
B6,5,-0.7090193271295634
B6,6,5.047154544637238
B6,7,5.841453657304081
B6,8,9.280949544797073
B6,9,3.5391536154615126
B6,10,3.6767871929340328
B6,11,1.4182991365704205
B6,12,13.8392895633056
DL,1,-2.0438469753125195
DL,2,5.6147452175385135
DL,3,2.077965363842899
DL,4,0.08334260598642483
DL,5,0.14933329752521116
DL,6,4.419593538301198
DL,7,1.2048615430547607
DL,8,0.6531143476913542
DL,9,-3.703377345378735
DL,10,-5.011516340215749
DL,11,-3.1754137902353823
DL,12,2.5045953790120645
EV,1,8.537496880459196
EV,2,10.417236043328176
EV,3,6.730101204819277
EV,4,4.821252726706139
EV,5,7.7242897075389045
EV,6,13.952792976205624
EV,7,6.926420794387786
EV,8,5.154422253922967
EV,9,0.851061867318468
EV,10,2.3037601648534265
EV,11,4.4159302660647395
EV,12,6.685175583313693
F9,1,18.357238307349665
F9,2,27.42417852749956
F9,3,20.07485465116279
F9,4,12.640439932318104
F9,5,13.007554179566563
F9,6,19.71295111338623
F9,7,14.464543418760886
F9,8,9.175737381216834
F9,9,0.9784603619678818
F9,10,0.0821273964131107
F9,11,11.164527421236873
F9,12,9.346221002743826
HA,1,3.5126404494382024
HA,2,6.029967088169063
HA,3,3.4683825865904034
HA,4,0.011021549596973186
HA,5,0.8264256777812402
HA,6,0.8827855320426234
HA,7,2.0015859284890425
HA,8,7.448029197080292
HA,9,3.696915292965562
HA,10,0.4670735624799229
HA,11,-2.7198935462408516
HA,12,-1.7064748201438849
MQ,1,18.164973882762624
MQ,2,21.301626652748784
MQ,3,11.018417619522676
MQ,4,5.1312277580071175
MQ,5,5.466789592296661
MQ,6,9.639323079488141
MQ,7,3.980288601488751
MQ,8,1.8965651496798754
MQ,9,-2.167267657098899
MQ,10,-3.73505378329717
MQ,11,0.22006104184987843
MQ,12,0.6624856901099995
NK,1,11.39805375347544
NK,2,16.47446563419941
NK,3,10.039118219148476
NK,4,8.766224110462028
NK,5,22.39734693877551
NK,6,35.56150134048257
NK,7,14.352381885904725
NK,8,20.51901828493204
NK,9,8.000101337657073
NK,10,6.810736135780541
NK,11,7.543880597014925
NK,12,12.733123269359305
OO,1,10.889893902046941
OO,2,9.58889490918514
OO,3,3.1816931323960755
OO,4,3.2237962676564593
OO,5,4.14116186288878
OO,6,8.338476904888092
OO,7,6.790332571915289
OO,8,5.6066890665430815
OO,9,1.5308958417183893
OO,10,1.750897166192303
OO,11,4.925548167753319
OO,12,10.947612212943632
UA,1,6.352728635280893
UA,2,7.260661890139884
UA,3,4.892211518275757
UA,4,4.376092010277744
UA,5,6.827694692686485
UA,6,16.932662867359483
UA,7,10.262550955899984
UA,8,5.014040631049598
UA,9,-1.794264698812557
UA,10,-2.4565417286977844
UA,11,0.2810635476844398
UA,12,7.0120787705033605
US,1,3.107457355748507
US,2,7.114455084359325
US,3,3.3307872915861743
US,4,2.66028960342315
US,5,0.6816048312356124
US,6,5.7662958482103335
VX,1,1.4207015278674413
VX,2,7.784410458806118
VX,3,5.348206839032527
VX,4,0.9955065359477124
VX,5,7.102021174205968
VX,6,5.779414578151903
VX,7,7.135772659732541
VX,8,5.1062212796041
VX,9,0.07099786033845555
VX,10,2.2542778288868446
VX,11,0.11637043966323667
VX,12,13.49872029250457
WN,1,3.3894656332857434
WN,2,3.501363468293585
WN,3,3.2633406330132706
WN,4,2.996398786959818
WN,5,5.680776826859776
WN,6,10.743462226195797
WN,7,10.50494168720143
WN,8,5.532107941923571
WN,9,-1.3362598507775747
WN,10,-0.6888508740737893
WN,11,0.9956842923794712
WN,12,6.720893444098173
